_id,District,Local Level Name,Total family number,Total household number,Total population,Total Male,Total Female,mismatch,Male percentage,Female percentage,Sex Ration,population density,Average family size,Average household size
1,Taplejung,Aathrai Tribeni Rural Municipality,2869,2735,12288,6005,6283,True,48.87,51.13,0.96,4.492870201096892,4.28,4.49
2,Taplejung,Maiwakhola Rural Municipality,2275,2178,10365,5264,5101,True,50.79,49.21,1.03,4.758953168044077,4.56,4.76
3,Taplejung,Meringden Rural Municipality,2683,2528,12040,6181,5859,True,51.34,48.66,1.05,4.762658227848101,4.49,4.76
4,Taplejung,Mikwakhola Rural Municipality,1862,1792,7991,4000,3991,True,50.06,49.94,1.0,4.459263392857143,4.29,4.46
5,Taplejung,Phaktanglung Rural Municipality,2864,2700,11925,6239,5686,True,52.32,47.68,1.1,4.416666666666667,4.16,4.42
6,Taplejung,Phungling Municipality,7306,5888,28786,14160,14626,True,49.19,50.81,0.97,4.888926630434782,3.94,4.89
7,Taplejung,Sidingba Rural Municipality,2604,2484,10981,5593,5388,True,50.93,49.07,1.04,4.420692431561997,4.22,4.42
8,Taplejung,Sirijangha Rural Municipality,3329,3197,14186,7227,6959,True,50.94,49.06,1.04,4.43728495464498,4.26,4.44
9,Taplejung,Pathivara Yangwarak Rural Municipality,2738,2637,11797,5855,5942,True,49.63,50.37,0.99,4.473644292756921,4.31,4.47
10,Panchthar,Falelung Rural Municipality,4940,4773,20531,10211,10320,True,49.73,50.27,0.99,4.301487534045673,4.16,4.3
11,Panchthar,Falgunanda Rural Municipality,5293,4968,21253,10417,10836,True,49.01,50.99,0.96,4.277979066022544,4.02,4.28
12,Panchthar,Hilihang Rural Municipality,4878,4647,20537,10160,10377,True,49.47,50.53,0.98,4.419410372283194,4.21,4.42
13,Panchthar,Kummayak Rural Municipality,3199,3012,13020,6532,6488,True,50.17,49.83,1.01,4.322709163346613,4.07,4.32
14,Panchthar,Miklajung Rural Municipality,5509,5163,21328,10535,10793,True,49.4,50.6,0.98,4.130931628897928,3.87,4.13
15,Panchthar,Phidim Municipality,12433,10442,48713,23963,24750,True,49.19,50.81,0.97,4.6651024707910365,3.92,4.67
16,Panchthar,Tumbewa Rural Municipality,2752,2636,11063,5644,5419,True,51.02,48.98,1.04,4.196889226100152,4.02,4.2
17,Panchthar,Yangwarak Rural Municipality,3964,3765,16828,8509,8319,True,50.56,49.44,1.02,4.4695883134130145,4.25,4.47
18,Ilam,Chulachuli Rural Municipality,5624,5533,22856,11215,11641,True,49.07,50.93,0.96,4.130851256099765,4.06,4.13
19,Ilam,Deumai Municipality,7907,7535,31531,15807,15724,True,50.13,49.87,1.01,4.184605175846052,3.99,4.18
20,Ilam,Fakphokthum Rural Municipality,4923,4748,20004,9800,10204,True,48.99,51.01,0.96,4.213142375737153,4.06,4.21
21,Ilam,Illam Municipality,13395,11943,50455,24781,25674,True,49.12,50.88,0.97,4.224650422841832,3.77,4.22
22,Ilam,Maijogmai Rural Municipality,4957,4881,19295,9686,9609,True,50.2,49.8,1.01,3.953083384552346,3.89,3.95
23,Ilam,Mai Municipality,7966,7844,30988,15126,15862,True,48.81,51.19,0.95,3.950535441101479,3.89,3.95
24,Ilam,Mangsebung Rural Municipality,3891,3793,16897,8602,8295,True,50.91,49.09,1.04,4.454785130503559,4.34,4.45
25,Ilam,Rong Rural Municipality,4715,4650,17555,8739,8816,True,49.78,50.22,0.99,3.775268817204301,3.72,3.78
26,Ilam,Sandakpur Rural Municipality,4031,3937,15460,7840,7620,True,50.71,49.29,1.03,3.9268478536957074,3.84,3.93
27,Ilam,Suryodaya Municipality,14149,13463,55457,27922,27535,True,50.35,49.65,1.01,4.119215628017529,3.92,4.12
28,Jhapa,Arjundhara Municipality,20978,5195,84429,40591,43838,True,48.08,51.92,0.93,4.444801263490392,4.02,16.25
29,Jhapa,Barhadashi Rural Municipality,9053,8665,37916,17952,19964,True,47.35,52.65,0.9,4.375764570109636,4.19,4.38
